index	region	farm	housing	ownership	residential_area	householder_rel	sex	age_code	marrige_status	education	learn_status	preschool_child	preschool_child_num	economic	sideline	hour_dayjob	hour_sideline	industry	job	job_status	wage_earner_work_form	offday	monthly_income
9	11	2	2	1	106	1	1	5	2	4	1	2	-1	1	2	40	-1	3	5	3	-1	5	7
12	11	2	2	3	148	2	2	4	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
26	11	2	2	1	148	1	1	6	2	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	7
29	11	2	4	1	33	1	1	6	3	2	1	2	-1	1	2	20	-1	10	2	3	-1	5	4
30	11	2	2	1	106	3	1	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
40	11	2	5	2	66	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
67	11	2	2	1	148	1	1	5	2	5	1	2	-1	1	2	45	-1	10	2	1	1	2	11
72	11	2	3	2	85	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
95	11	2	2	3	39	1	2	3	4	3	1	1	1	2	-1	-1	-1	-1		-1	-1	-1	2
99	11	2	2	1	106	2	2	4	2	3	1	2	-1	1	2	80	-1	4	5	3	-1	4	7
103	11	2	2	2	119	1	1	2	2	5	1	1	1	1	2	50	-1	7	3	1	1	3	5
106	11	2	2	1	106	1	1	4	2	3	1	2	-1	1	2	80	-1	4	5	1	1	4	7
114	11	2	4	2	15	1	2	6	1	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
126	11	2	1	2	53	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
145	11	2	3	1	82	1	1	5	2	1	1	2	-1	1	2	20	-1	4	5	3	-1	5	6
151	11	2	2	1	128	1	1	4	2	4	1	2	-1	1	2	54	-1	4	2	2	-1	1	10
156	11	2	2	1	119	1	1	6	2	4	1	2	-1	1	2	30	-1	4	5	2	-1	1	8
195	11	2	2	1	106	1	2	2	1	5	1	2	-1	1	2	40	-1	10	3	1	1	3	4
226	11	2	2	3	148	1	1	4	2	3	1	2	-1	1	2	40	-1	4	5	2	-1	2	10
244	11	2	1	4	33	1	1	6	2	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
247	11	2	2	1	148	2	2	5	2	6	1	2	-1	1	2	48	-1	10	2	1	1	2	8
248	11	2	2	1	106	8	1	2	1	4	1	2	-1	1	1	60	3	4	5	1	1	3	9
251	11	2	2	2	83	2	2	4	2	4	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
254	11	2	2	1	148	2	2	5	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
255	11	2	2	1	145	1	2	4	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
262	11	2	1	2	40	2	2	3	2	3	1	1	1	2	-1	-1	-1	-1		-1	-1	-1	1
277	11	2	1	2	145	2	2	4	2	3	1	2	-1	1	2	60	-1	10	4	3	-1	4	5
286	11	2	2	1	85	1	1	3	1	5	1	2	-1	1	2	45	-1	4	2	3	-1	5	4
300	11	2	1	3	50	1	2	6	3	1	1	2	-1	1	2	72	-1	8	9	1	1	1	3
303	11	2	4	3	26	1	1	3	2	3	1	2	-1	1	2	72	-1	3	7	1	1	5	3
317	11	2	2	2	106	1	2	6	3	1	5	2	-1	2	-1	-1	-1	-1		-1	-1	-1	4
323	11	2	2	1	119	2	2	6	2	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
355	11	2	3	2	90	3	1	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
368	11	2	4	3	33	1	1	3	1	5	1	2	-1	1	2	40	-1	4	3	1	1	3	9
393	11	2	2	1	188	3	2	2	1	5	1	2	-1	1	2	50	-1	7	2	1	1	3	9
403	11	2	2	1	106	3	2	2	1	4	1	2	-1	1	2	45	-1	8	3	1	1	3	4
410	11	2	2	1	85	6	2	6	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
421	11	2	1	2	53	2	2	4	2	5	1	2	-1	1	2	60	-1	4	5	4	-1	1	1
433	11	2	4	1	69	1	1	4	2	5	1	1	1	1	2	49	-1	8	2	1	1	3	8
440	11	2	3	2	60	1	1	2	2	5	1	1	1	1	2	50	-1	7	3	1	1	3	5
472	11	2	3	2	60	1	1	3	1	5	1	2	-1	1	2	50	-1	2	2	1	1	3	8
473	11	2	2	2	106	1	1	4	2	7	1	1	1	1	2	48	-1	10	2	1	1	3	10
482	11	2	3	2	85	1	2	3	4	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	7
483	11	2	2	1	83	6	2	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
484	11	2	2	3	39	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
499	11	2	3	2	90	3	2	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
502	11	2	1	2	66	1	1	4	2	3	1	2	-1	1	2	40	-1	2	8	2	-1	1	6
506	11	2	2	1	148	3	1	2	1	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
523	11	2	2	1	119	1	1	6	2	5	1	2	-1	1	2	30	-1	2	2	1	1	3	6
542	11	2	2	2	83	2	2	3	2	5	1	1	2	1	2	40	-1	2	3	1	1	3	5
546	11	2	1	2	36	1	1	5	2	3	1	2	-1	1	2	80	-1	3	8	1	1	4	4
554	11	2	1	1	82	3	1	1	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
555	11	2	2	2	119	2	2	3	2	5	1	1	1	2	-1	-1	-1	-1		-1	-1	-1	1
556	11	2	2	3	148	3	1	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
563	11	2	2	1	85	3	2	2	1	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
575	11	2	2	1	85	1	1	6	2	5	1	2	-1	1	2	53	-1	10	9	1	2	2	3
604	11	2	2	2	85	1	1	4	2	1	1	2	-1	1	2	48	-1	8	2	1	1	3	10
611	11	2	2	3	39	3	1	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
640	11	2	2	1	145	3	2	2	1	5	1	2	-1	1	2	30	-1	10	4	1	2	5	3
648	11	2	1	1	43	2	2	6	2	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
